userName,score,at,EnglishTranslation,BERT_Sentiment
Pengguna Google,2,2025-03-02 05:08:53,"Disappointed User Shopee An and times disappointed Checkout Detection of Fair Transactions Which reasonable CO vouchers don't come here Co price of rebu buy bath soap or not if you use vouchers if the voucher co is easy helloo shopee voucher or not, buy shopee plus detection of reasonable transactions Shopee Rekom Buy ShopeePlus Shopeplus Shopeplus",Negative
Pengguna Google,1,2025-03-14 20:19:44,spx express acting standard motion mobile voucher package no minimum intention to shop for Canceling information on the results of the investigation,Neutral
Pengguna Google,1,2025-03-06 21:18:53,So far shopee shopping is easy to hear about the logistics of his logistics status not to advance to the fact that he has a good estimation to bring the district goods to the lot and not to update the status of send passing the way to return the weird,Neutral
Pengguna Google,1,2025-02-27 22:46:45,really like shopping using the application is very canceled even though checking the items according to sometimes the item is going to cancel it to buy using a strange cancel vocer,Negative
Pengguna Google,2,2025-03-12 07:55:22,Shopee Courier Features Connect Buy Chat Shopee Applications Bad Shopee Need to order a heavy lid need to have to be on buying a courier via Shopee where the application is closed because contact number wa buying courier Whatsapp Active Active Features Difficult Courier Buy,Negative
Pengguna Google,4,2025-03-16 15:19:32,Shopee Shopping Delicious Members Members Platinum Working SPX Courier Not Trust Working Working to Cover Goods,Negative
Pengguna Google,4,2025-03-16 09:23:31,Like Shopee Goods Send Services SPX Problem Message more late date of estimation cancel automatic if the contact service is directly sent to the disappointment of sending services,Negative
Pengguna Google,4,2025-03-16 09:23:42,already very comfortable if there is a courier number feature I receive the confirmation courier is complete,Positive
Pengguna Google,2,2025-03-04 03:17:10,Disappointed Shopee Apps Like Banget Disappointed Buy Shopee Products Spx Super Duper Slowly Send more bounds until the package is not good enough to help Send Send Send Package Rich Gin,Negative
Pengguna Google,1,2025-03-07 15:31:11,Please shopee application again like enter directly live video disturbing kdg not the seller hasn't closed the sound of the platform buying and selling platforms like Tiktok YouTube short,Negative
Pengguna Google,5,2025-03-15 05:11:55,"likes from shopee ordered too, it is lost from the sending menu but it will be affected by the cod bisan. Complen the courier address",Neutral
Pengguna Google,1,2025-03-10 14:24:09,Shopee changed reliably the system already faithfully shopee times disappointed to cook platinum accounts shopping already vouchers already not shopping strange vouchers,Negative
Pengguna Google,1,2025-03-13 01:59:00,Constraints of using the application change since the package between the service between the service sending the courier is deliberately finished.,Neutral
Pengguna Google,1,2025-03-10 05:37:55,This suggestion is that Shopee belongs to Shopee if the expedition sends spx spx saving standard lots lot spx is already not there is a correct spx price,Negative
Pengguna Google,1,2025-03-11 15:26:01,Sayah the app is good for buying the application of the application sometimes if it is open to it doesn't appear that the net is good for election.,Neutral
Pengguna Google,3,2025-03-12 13:54:26,"Give me advice, min if open the app directly live video, difficult to do the homepage menu, the packet of the packet of the video, responds to the dark app.",Negative
Pengguna Google,2,2025-03-13 14:09:43,here strange application open the application directly forced to enter the new live video forced to enter the voices of the sound of missing the veranda,Negative
Pengguna Google,2,2025-03-07 08:04:14,Please Shopee Evaluate the Message Feature,Negative
Pengguna Google,5,2025-03-06 05:32:48,For Shopee Applications Good Shopping Applications Find Kumplit Hrg is quite cheap plus free postage n BSA Select Expedition to Send Package Now Open the application directly appears video if you can miss the customer forced forced to watch the video,Neutral
Pengguna Google,1,2025-03-14 22:05:09,"Shopee is the order to send really, please give you a good select spx send good",Positive
Pengguna Google,3,2025-02-24 12:16:10,Make disappointed estimation of sending services to stagnate the day seller shop fast response lamamemperoses gold send chaotic still like by by many videos lots sometimes error huuhu,Negative
Pengguna Google,1,2025-03-10 22:01:56,Lot Lot is updated JD Lot Please Live Video Open Lost Applications Please Dimleare Cache Shopee Cache HP has dicare tetep lot because video appears first KL app Open Shopee Application Open Ram Giga Dah Bet Dah,Negative
Pengguna Google,5,2025-03-13 07:58:28,"Yamin's suggestion when the courier package is good, buy, please tell me the number of the courier.",Neutral
Pengguna Google,1,2025-03-02 16:24:24,"there is no voucher here when you pay for the automatically canceled the application, the Gun Voucher system is gaped, thank you",Negative
Pengguna Google,1,2025-03-13 05:55:38,"Ga feature Shopee, selfish, Shopee Business Forced SPX, Send Main Disappointed Sending Regular SPX Sending Package Sending Savings Save Savings Regular Calculate Slow Calculation",Negative
Pengguna Google,2,2025-03-15 03:04:38,"Sorry to change the rating, please shopee using the spx expedition because already x the packet of the Tel Tel.",Negative
Pengguna Google,3,2025-03-09 02:46:43,"so use the shopee application, it makes you disappointed, more open, more advanced, more broken loading, loading, loading, order a good signal, please admin, good, thank you",Negative
Pengguna Google,4,2025-03-15 07:20:23,virtual accounts don't appear to enter the total payment of paying canceled not to change the total price,Negative
Pengguna Google,1,2025-03-16 09:07:39,Tobat Shopping Buy a Helmet Treat Shopping Severe Sending Item Application Day Sorting City Sorting City Eeh Sorting City Tuju Sorting City Send Severe Receiving Items Remove Ampun Application,Negative
Pengguna Google,5,2025-02-25 09:15:28,Shopee Recommendation Full Online Shopping Cheap Send It Fast Package Shopee Applications Slowly APPLICATIONS,Positive
Pengguna Google,2,2025-03-16 11:29:11,Message Supports COD COD LAYERS OPTION PAY MENTANG SHOPEEPAY OPTION PAY PAY SUCCESSFUL I ENTER CARD NUMBER NUMBER NUMBER NGE ACTIVITY SHOOPE PAY USING SHOOPE,Negative
Pengguna Google,5,2025-03-16 13:30:13,Send a good fast obstacle in shopping for the application lot byk the application bug application so it's slow,Neutral
Pengguna Google,1,2025-03-10 09:55:57,Shopee Guarantee Cut Shopping Thousand Shopping Thousand Hilarious Shopee Minimum requirements for consumer warranty already loss of risk of damaged goods up to the Compensation Guarantee Main,Positive
Pengguna Google,5,2025-03-15 00:32:33,Please make a good system safe buyer fake order when the Event Buyer mes package package house package.,Negative
Pengguna Google,1,2025-03-12 02:46:32,"your advertisement is interrupting oathhh, open the apk, you have to interfere with the advertisement, making it so fast that you are slow because your application ad.",Negative
Pengguna Google,1,2025-03-13 00:23:34,Application Not Response Complaints Just tell the day to just let go of the results of the dilapidated system can withdraw money from selling server error disappointed applications not complain,Negative
Pengguna Google,1,2025-03-16 06:35:02,Slow courier Send Slow Info Send compensation using Shopee Express Courier Solution Chat Cs Cs Reply Bot,Negative
Pengguna Google,1,2025-02-26 00:54:40,Date of FEB Shopping Checkouts Ticket Automatically Cancel Detection of Fair Activities Fair Status CS CSM Complaints Unnatural or not the ends of the voucher error told CO vouchers and then vouchers love,Negative
Pengguna Google,2,2025-03-08 01:46:33,The Shopee Bug application opens the application immediately appears a stop video advertisement yes advertise,Negative
Pengguna Google,2,2025-03-02 01:09:21,Minus Shopee Entering the application directly enter Shopee Video X Kenu Mo Mo Account forced Solution Langsing Shopeeplus Using Free Vouchers Postage Alias ​​Free Chat Priority Platinum Cs Aside Sunday Cs CSOP Plus Shopee Complete Goods Platform Discount Cashback,Negative
Pengguna Google,1,2025-03-16 21:18:31,"Shopee please please SPX courier service since March the Molor Package PDHL is already the city of the Package Overload for the package, the package is the package, the package is many, so the package is that it hasn't been able to order the SPX voucher.",Negative
Pengguna Google,2,2025-03-14 04:02:09,"many less than the app tag line warranty can be a minimum voucher, the package has been courier, I don't know the courier because it doesn't know the name of the courier, it doesn't know that it is difficult",Negative
Pengguna Google,2,2025-03-16 23:28:29,Buy males bgetbuilders send goods to invite PAS to invite people home throw away spx spx to estimated decks GA makes sense if the island knows that if you just have a ma ma ma ma ma ma ma ma ma ma ma ma ma ma green,Negative
Pengguna Google,1,2025-02-23 13:09:53,"Please return the message button to finish confirming, click the loss button deliberately click the palm button intention, click the package button, the warehouse constraints, the expedition package, the contents, eating mouse, for the end of the return",Negative
Pengguna Google,1,2025-03-02 16:50:35,Shopee ko severely gin sih not checkout kali checkout directly cancel the vocer to buy bought eh CONFIDENTIAL BENER BENER SHOPEE MAKE DISCUSSION,Negative
Pengguna Google,1,2025-03-12 06:58:48,"Alam Shopee is serious, the expedition is severe Benowo DC cooks the estimated package, the dated stuck date of the cakung dc package dc date Benowo dc stuck seconds stuck Benowo DC DC severe date Expedition SPX Kasih Bintang Many Shopee Moga Follow up Benowo DC because of gag people complaints",Negative
Pengguna Google,1,2025-03-03 17:10:57,Aduhh where's the game GA GA website platform is not the only ads to enter the shopee appe gue gue ga shopping LOL please ya Shopee knows people are forced to enter the shopee application Lu thinks of loyalty shopping seconds,Negative
Pengguna Google,1,2025-02-25 05:20:07,"bad systems, just not different from the seller selling original kw wild seller products selling original products selling original products",Negative
Pengguna Google,1,2025-03-10 01:09:15,"Shopee is not good shopping open the application directly Live video Live Mosque bus thinking really shopping noisy click the homepage of the sound of the LAVE VIDEO LAVE SHOP SHOP SHOP Shopping Shopping Shopping Complete Clear Cache Mulu Botten Ga SPX Udh Item CS Shopee Not Disactive Live Video Yes, yes",Negative
Pengguna Google,1,2025-03-03 01:03:30,Video Gajelas Open Application Live Into Video Back Back Voice Ga Loss Application Recent App,Negative
Pengguna Google,2,2025-03-10 14:14:07,"Actually, the application is good easy to shop online, I don't know the quality of the work shopee.",Neutral
Pengguna Google,1,2025-03-13 23:10:33,Apk Comfortable Consumers Completed Order Cancel Account Activity Fair Shopping because it is canceled if you are buying and selling Apk Apk Game Apk MARKETPLACE TEAM IT IT Many upgraded Gada UPGRADE APK GAME SHOPEE If consumers order Cancel,Negative
Pengguna Google,1,2025-03-08 22:38:52,Shopee System Defective Orders Completed Goods Send Scroll Scroll Screen Message Completed Deliberately Cancel System Defective Message Sending Message SEJECHS must have the Message option,Negative
Pengguna Google,1,2025-03-04 11:05:15,Transfer See a very balance of error requires an annoyed balance. Write a wrong net.,Negative
Pengguna Google,1,2025-03-09 00:55:34,Shope application here is not frivolous to get a beautiful voucher household voucher Vouchers Video Sekrng Make Star Star Store Moving Shopping Shop,Neutral
Pengguna Google,5,2025-03-13 08:45:24,Shopy Happy the courier to send wise courier courier carrying the remaining leftover items do not run out between couriers again warehouse goods with a base for buying not a place to buy not connecting the base of goods must be returned to the distance with the warehouse take it directly to ask for the good system for the system,Negative
Pengguna Google,5,2025-03-15 21:01:02,free postage promo select if you shop for natural shopping for the front of the product,Positive
Pengguna Google,5,2025-02-23 02:24:13,"For Shopee Order this developer please update the front make it smooth for the Android Marshmallow device the application version is really heavy Lot Lot Difficult to Slide the Save Product Pretty Apk Data, yes, see the Follow Shop account appears, the net is available if you open the AMAN AMAN application, just optimal",Neutral
Pengguna Google,1,2025-03-03 12:24:27,yes open the nge bug app spaylater page afraid of paying hard to open a good app just update shopee ramadhan nge bug,Negative
Pengguna Google,1,2025-03-03 02:40:09,"Year of Using Safe Shopee Comfortable So Favorite Online Shopping Shopping Is it hard to buy, need to be canceled the text of the reasonable activity, whether it is not reasonable to be disappointed so it is very compassionate, good luck",Positive
Pengguna Google,1,2025-02-28 12:13:33,Please send the option to send back the option to send j t using shopee spx slowly late week please please,Negative
Pengguna Google,1,2025-03-16 09:23:31,"disappointed ma seller shopee just accidentally pushed after the fund ordered not back the loss failed to send it delicious, just sell it, not, the money is lifted, what is the message, the message is complete, the shopee is not like the competitive application, so the button is not a loss.",Negative
Pengguna Google,5,2025-03-10 19:31:54,Help Paylater features free postage vouchers Thank you shoppe please buy Paylater quota credit not limits because the influence of likes to pay for free iphone products is really good but syg war free iphone always slags bags.,Negative
Pengguna Google,1,2025-03-10 09:09:53,Shopee goes to the Thr surprised to love the week so much so that the minimum shopping for thousands of pinter banget makes a strategy not to spend the cost of paying for a lying lies voucher receh,Positive
Pengguna Google,1,2025-02-24 10:07:29,Shopee Mobile application Ngehang See Short Video Promotion Mobile Products Ngerak not touch Dead forced Dead forced Dead for Forced to Deal,Negative
Pengguna Google,1,2025-03-03 08:16:21,Gajelas banget messages Cancel bright active acts should not be done yes week Co x yaudah jdi profit clo voucher jdi gabisa dipaked using pajang click klo paspak cancel chat system cs disappear chat chat pdah,Negative
Pengguna Google,1,2025-02-27 02:15:33,"Application of Loss Buying and Selling Co Co Sllu Batalkn System With a reasonable reason for shopee, the voucher is not using shoppe because it is not like it is not like it",Negative
Pengguna Google,1,2025-02-25 04:35:36,"Open the Home Home Home Application Direction Live App Video Lot When open the video directly sometimes CLOSE VIDEO RESTART HP, please complain Shopee says the Force Close App Restarts Recurring",Neutral
Pengguna Google,1,2025-02-28 13:49:08,Message Account Message Change Status Bright Back Item Courier House SPX Courier Disappointed,Negative
Pengguna Google,1,2025-03-10 03:14:00,how to open the application must immediately appear video sometimes the close still appears the sound of the video makes the hp lot please please yes,Negative
Pengguna Google,2,2025-02-25 02:52:30,Shopee Application Makes a Dead Hp Restart Pay Fail to Fail When Verifying the Face of Dead Hp Sometimes Restarting Find the Masalh Dimna Really Shopee Hp Application Not Dead Restart,Negative
Pengguna Google,4,2025-03-09 18:44:56,"application helps easy to shop, I often don't have any trickery",Positive
Pengguna Google,3,2025-03-11 03:54:48,"Shopee likes to open the application directly, treat the video to disturb the loud sound, shouting, please appear video thinking consumers like to disturb the concept, please make the application chaotic. Thank you, thank you",Negative
Pengguna Google,1,2025-03-09 08:02:04,Disappointed Shopping for Shopping Applications Re -Shopping Items Just Work Shopping Message Send according to the re -message of the mask flood the Ujung Message Re -Order the Fund Order to match the Returning Returning Services Returning Services She,Negative
Pengguna Google,1,2025-03-16 04:33:06,Bad Application of Family HP Detected Silly Pengyol Needs Different Home People Gaes Cancel Indications Cheating Which Voucher is better not to buy not using the shopee application just meet expensive x prices offline shopee slowly staying slowly,Negative
Pengguna Google,1,2025-02-16 03:05:20,"Updated constraints open directly to the video so that the veranda see the live video so that you select the expedition jnt select jnt but look for the straw needle, the shop is available jnt the expedition select the kenepa jnt using the shopee quickly the spx is slow",Neutral
Pengguna Google,5,2025-03-09 16:11:27,"in the shopee application lazy home to search cheap transfer applications, advice, the Ovo Gopay Fund application, etc. Digital Banking Transfer Applications, sometimes BLM transfers owned by M Banking",Neutral
Pengguna Google,4,2025-03-15 16:15:00,The application is only less than a little tamba payment method of paying the gopay fund application,Negative
Pengguna Google,1,2025-02-26 06:56:10,please fix it open the shopee video application appears making the sound lots not lost please update like open the lgsg home shopee video thank you,Negative
Pengguna Google,2,2025-03-05 05:12:48,Times Update Yesterday Update Open the Application Immediately Appears Convenient Live Video Update Kirain Change Live Live Video Disappointed plus the application after the weight update is really checked Send Send Open Open Rotating quickly WIFIKU OPEN TAMBH TAMBH TAMBH OPEN OPEN,Negative
Pengguna Google,1,2025-03-15 08:23:59,strange courier shopee Package Address Kali Salah Courier Change Person Funny Numbers Ngambek Better Uninstall Shopee Not Courier Children Solk Please Choose a Smart Courier Dikit Dah wrong address Ngambek,Negative
Pengguna Google,1,2025-02-26 18:22:53,"Sorry, the fox stars are shopee, yes, the order, using the voucher, is immediately contacted, automatically the reason is that it is a natural activity if Gin is confused looking for a selling item, please follow up the cancel, shopee",Negative
Pengguna Google,1,2025-03-02 05:45:17,Late Send Ga Not like the application consistently Send Fast FREE free postage voucher Warranty GA NOT TIME WARRANTY TRYING TO DRINKING PRODUCTS FREE RB MAKE VOCER COMMITMENT Very Terms When the Chekout Just the Warranty Right Sending the Items,Negative
Pengguna Google,1,2025-03-13 07:29:20,shopee here slow to send stuck estimates sometimes like to change the morning cakung dc really stuck in the inhibition package according to of course check out out,Negative
Pengguna Google,5,2025-03-10 02:25:41,Shoope Application Shopping Easy Shopping Needs Difficult Goods Buy Local Market Untung Shouope Free Promo Ongkir Voucher Natural Shop Shopping Shopping Shopping Easy Easy Accepting Shouope Applications Good Constraints The most sour constraints are available. Thank you.,Positive
Pengguna Google,1,2025-03-02 23:51:46,Shopee Ga Kualitas is very badly disappointed in the intention of the voucher's love for shopping to close the ga app for shopping,Negative
Pengguna Google,1,2025-03-01 21:48:59,Shopee Application For Complete Features Promo Login Login Face Verification Account Try Time Times Face Scan Face Failure Confused Application Please Shopee Good Shopee Facial Verification System To Difficult to Login,Neutral
Pengguna Google,5,2025-03-14 01:20:58,Nature Shopee Shopping is happy mmg constraints but ordinary humans adx ivory says cracked except Gading Shopee frames okay,Neutral
Pengguna Google,1,2025-02-24 17:22:49,shopee is the best tricks to make promos near the missing banner like making s cs answer ga wrong,Positive
Pengguna Google,1,2025-03-11 15:16:00,Buy x items of refurbish ori hp it ori tevlon blisters sticky cuisine cooked TEVLON DIFFERENT LAPAK BROTHES PLEASE ADM SHOPEE PATIK SELLING ORI ORI RIGEK ITEMS PLEASE PAY SHOPEE LAPAK TRIMS TRIMS PRICE'S RELATIVE HONEST Thanks,Negative
Pengguna Google,1,2025-03-03 18:21:40,Disappointed Shopee System to Use Order times Try to Order Failing Shopee Application Stable Order Smooth System Lateing Transactions Upset Shopee Order Dikancel Alas Salah Shopee System,Negative
Pengguna Google,2,2025-03-10 10:25:13,"Shopee Food doesn't already cancel x, I can't get a driver, try to eat, buy it, I don't have you been looking for the location of the house, saying the location",Negative
Pengguna Google,5,2025-03-11 14:23:30,"Alhamdulillah Shopee is still comfortable to keep the customer safe in the return of goods returns the Shopee Respect Fund, the variation of shopping models via installments etc. is spoiled customers in online shopping, hopefully still is the best",Positive
Pengguna Google,1,2025-02-28 03:31:21,main side buying the program to sell the program so that the admin fees the admin package doesn't pick up the courier of the poor shop performance package.,Negative
Pengguna Google,1,2025-03-14 02:34:19,The update then open the application to enter the video makes it not comfortable sometimes the sound video keeas really doesn't choose not to choose the video lot up update Video Video Turn Home Press Home Notification Shopee Hurry,Negative
Pengguna Google,1,2025-02-26 22:41:15,NGACO APPLICATION Open the application like shopee video forced to eat kouta make a lag bug.,Negative
Pengguna Google,1,2025-03-12 02:36:28,likes to use shopee events yesterday shopee was very bad when the afternoon accessing the process of sending items to send access hours blocked not limit messages directly blocked situ the balance of pulling money or not the capital to play CS complaints times the answer like that like that,Negative
Pengguna Google,1,2025-03-16 11:34:53,"Shopee Express Please Good Order Week Needs Fast Expedition Items Difficult If the Expedition is good, the service doesn't order late if you use shoppe Express",Neutral
Pengguna Google,1,2025-02-28 09:48:29,"Plus or not, what do you buy k directly cancel automatically using free shipping.",Negative
Pengguna Google,1,2025-03-02 04:27:51,"really help the February marketplace change drastically disappointed to buy goods canceled saying that the reasonable activity is to buy a household, say for vouchers to give vouchers",Negative
Pengguna Google,1,2025-03-02 16:09:20,Shopee Gin ordered a cancel systems very strange vouchers dates smoothly just hit balsis please not leave the Shopee application user,Negative
Pengguna Google,5,2025-03-15 14:58:14,Help the House Shopping Application Look for the Commission's Reborn Shop Add Discounts on Postage,Positive
Pengguna Google,5,2025-03-11 02:36:07,Shopee System Ya kak order delicious fried noodles Cancel the system The activity is worth buying it is not possible to try it for the system to help the system let the custamer shopee not be disappointed,Neutral
Pengguna Google,1,2025-03-07 13:54:13,"Very strange message receive status Send send delays delays message reject buy back, please send me, order me, order, clearly, the nature x, please not gin, gin",Negative
Pengguna Google,1,2025-03-09 09:59:01,"For shopee, please act a naughty shop on behalf of the bright shop according to selling after a different smart buyer, sorry for the lay shopping shop, the shop is surprised to pass the dishoopee.",Negative
Pengguna Google,1,2025-03-14 09:41:21,Send if you do not consistently send a lot of TV ads that are quick to get a lot of work implications Amburadul Send Banget not until you make the name of the sale,Negative
Pengguna Google,5,2025-03-12 08:30:11,"already shopping shopee is good, smart to choose satisfied according to the expectations of the application easy to adopt shopping, not to bother leisure home power looking for goods",Positive
Pengguna Google,1,2025-03-07 16:36:41,"seb buying dishopee shopping shopeana, the problem was that the pulsa failed because she shopee gara 00",Negative
Pengguna Google,1,2025-03-12 13:20:17,Change high school every time you open shopee lgsg msk live video offline entered the homepage sound video sounds very disturbing stable Ram full of HPUS chace update apk already selling,Negative
Pengguna Google,4,2025-03-13 12:47:11,Send slowly to get a lot of people in the world of jakarta jakarta just because,Positive
Pengguna Google,2,2025-03-09 03:00:27,Shopie Shopping Happy Expedition SPX annoyed Expedition SPX Work Poor Stuck Package Stuck Wife Stuck Claims G Benefits of Limits Using Vouchers Claiming Goods Claims Directly enter Shopie Pay Shopie dare to be satisfied withdrawing,Negative
Pengguna Google,1,2025-03-04 16:39:33,I can be disappointed that the system is to buy reject funds back because indications of unreasonable transactions are not reasonable marketplace but can not use expenditure checks from the history of the transaction to not be reasonable,Negative
Pengguna Google,1,2025-03-06 12:31:42,"Mes items are difficult to order directly canceled because of the base system because the detection system for active accounts sis, different hp detection, the use of the use is canceled or ordering the account, not ordering items because the voucher is not so what do you explain, please help the solution, how is the item not to answer the solution, it is definitely gaje",Negative
Pengguna Google,5,2025-03-09 04:56:27,"Send SPX Slow, please see good seeku free shipping, send it, slowly disappointed, send shopee, good, thank you",Negative
